asset,category,full_ticker,dex,launch_date,days_live,ibkr_proxy,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,calmar,calmar_bench,max_dd,max_dd_bench,t_stat,t_p,t_sig,fold_sharpe_mean,fold_sharpe_std,hansen_spa_p,hansen_spa_sig,dsr,dsr_sig,romano_wolf_p,romano_wolf_sig,n_folds,n_trials,fills_per_day,spread_ann,iv_arb_ann,greeks_ann,funding_ann
GOOGL,stock,xyz:GOOGL,xyz,2025-11-18,167,GOOGL,0.8393117992889051,0.4332608645245187,0.4060509347643864,3.106414976811019,1.6871707023146048,5.072777275710123,2.008328966011583,0.16545410012534256,0.21573201993144978,6.256465189409334,2.819954825206139e-09,True,1.2804220856231887,3.8294471835464408,0.0,True,0.8290963707173962,False,0.0,True,4,32,29.652694610778443,0.2909597414634147,0.03812517473371736,-0.03210135308906451,0.0
AMZN,stock,xyz:AMZN,xyz,2025-11-18,167,AMZN,0.6544403008494605,0.2870638380198093,0.3673764628296512,2.432086245089296,0.7965939801164076,4.906123230127847,1.376747126226156,0.1333925525617926,0.20850876137776211,2.097126212838334,0.018990708149843938,True,2.907436605539046,2.7782439055080816,0.002,True,0.6237234904851873,False,0.002,True,4,32,29.748502994011975,0.3012878926829269,0.02643537844379964,6.035324099537498e-05,0.0
AMD,stock,xyz:AMD,xyz,2025-12-04,151,AMD,1.2309086372778295,1.3096227803261369,-0.07871414304830737,3.029717849259683,2.317698070151484,5.830360629941112,4.701154199808612,0.21112049758237028,0.27857473391948145,-0.2144694449641356,0.5847109634691459,False,1.791970904286443,4.387294924245006,1.0,False,0.7744821888899778,False,0.608,False,4,32,37.86754966887417,0.43879035789473686,0.09135036537234677,-0.8703947368421056,0.0
MU,stock,xyz:MU,xyz,2025-12-19,136,MU,1.711103081010245,0.7178989934786499,0.9932040875315951,2.9988677951679166,1.1069983747377454,9.105316432620638,2.21522029561069,0.18792351629648585,0.32407566638005186,2.647487074767122,0.004747193272063299,True,1.986239819060103,4.67545484534661,0.022,True,0.7498530975797625,False,0.022,True,4,32,42.029411764705884,0.49994872941176494,-0.04902757711586529,0.026773722336342034,0.0
SNDK,stock,xyz:SNDK,xyz,2026-01-12,112,,2.4358179888082487,2.1773803582648497,0.2584376305433991,3.0375187643957022,2.498559481786638,10.045156429474286,7.781520022724685,0.242486815004804,0.27981427174975565,0.5344129594434128,0.2973626999871337,False,1.751848578441629,3.3220360750219866,0.258,False,0.7331768975575754,False,0.258,False,3,32,42.24107142857143,0.5072441325746802,-0.12654302524602778,0.04273155962534378,0.0
MSTR,stock,xyz:MSTR,xyz,2025-12-02,153,MSTR,0.7802875063335087,0.2770962333664629,0.5031912729670458,2.5446633195066695,0.36308325738069175,5.084476505697197,0.6761391227661504,0.15346466946187878,0.4098213282391284,0.6985350981918172,0.24314526691876348,False,2.0418782780128577,2.5582430214937983,0.098,False,0.6659269605718767,False,0.098,False,4,32,40.78431372549019,0.6287201477732794,0.11634378961769334,-0.744755931887655,0.0
CRCL,stock,xyz:CRCL,xyz,2025-12-15,140,,1.255323008776654,0.9058032889823977,0.34951971979425633,1.8018293324602048,0.9581339195043268,5.136055638044376,2.560765159001626,0.24441382594808408,0.35372368520335,0.5860695238663459,0.2795813055862708,False,1.1880905398024704,1.2717401426287107,0.31,False,0.46686423084877177,False,0.31,False,4,32,43.707142857142856,0.5332777200000002,-0.07790376011803476,-0.021878397825301904,0.0
NFLX,stock,xyz:NFLX,xyz,2025-12-08,147,NFLX,0.5452820750851215,0.12707517937835203,0.4182068957067695,2.501875895055513,0.3504688912294002,5.625923736181355,0.8283811023559816,0.09692311887882726,0.15340183282421596,1.6970938841778622,0.04630668262619997,True,1.5912033628400608,2.28534994126783,0.02,True,0.6479523595607037,False,0.02,True,4,32,31.068027210884352,0.3294399405405406,0.01911711912200559,0.0005278113531782137,0.0
TSM,stock,xyz:TSM,xyz,2026-02-03,90,TSM,1.0710928072301864,0.873992492432151,0.19710031479803536,3.2096971767637226,2.3097672286030697,15.673706899124682,8.902146144649576,0.06833691698611533,0.09817772908136804,0.5368898110699362,0.2968866599245452,False,2.1978585840420797,1.377333804549315,0.354,False,0.716175254181859,False,0.354,False,2,32,26.844444444444445,0.29130976,0.03579293542674546,-0.023352533689267707,0.0
JPY,fx,xyz:JPY,xyz,2025-12-23,132,FXY,0.13658304325388673,0.05475617175848185,0.08182687149540488,1.9735641062913873,0.7690295667480516,6.395716023403246,1.624776179284581,0.02135539519798896,0.03370074749778275,2.87757846241366,0.0024964437227016356,True,1.549270859603467,2.0963697521192866,0.002,True,0.5089198967310321,False,0.002,True,4,32,9.340909090909092,0.06493772727272729,0.011109145361469619,-0.016743134966077315,0.0
